end_period_ts,end_time,yes_bid_open,yes_bid_high,yes_bid_low,yes_bid_close,yes_ask_open,yes_ask_high,yes_ask_low,yes_ask_close,price_open,price_high,price_low,price_close,price_mean,price_previous,price_min,price_max,volume,open_interest,price_close_prob
1762807020,2025-11-10 20:37:00+00:00,4,4,4,4,5,6,5,6,,,,,,5,,,0,20354,
1762809120,2025-11-10 21:12:00+00:00,4,4,4,4,6,6,6,6,,,,,,5,,,0,20354,
1762810380,2025-11-10 21:33:00+00:00,4,4,4,4,6,6,6,6,,,,,,5,,,0,20354,
1762812600,2025-11-10 22:10:00+00:00,4,4,4,4,6,6,6,6,,,,,,5,,,0,20354,
1762813260,2025-11-10 22:21:00+00:00,4,4,4,4,6,6,6,6,6.0,6.0,6.0,6.0,6.0,5,,,15,20369,0.06
1762813680,2025-11-10 22:28:00+00:00,4,4,4,4,6,6,6,6,,,,,,6,,,0,20369,
1762815720,2025-11-10 23:02:00+00:00,4,4,4,4,6,6,6,6,,,,,,6,,,0,20369,
1762817040,2025-11-10 23:24:00+00:00,4,4,4,4,6,6,6,6,,,,,,6,,,0,20369,
1762821180,2025-11-11 00:33:00+00:00,4,4,4,4,6,6,6,6,,,,,,6,,,0,20369,
1762821540,2025-11-11 00:39:00+00:00,4,4,4,4,6,6,6,6,,,,,,6,,,0,20369,
1762826520,2025-11-11 02:02:00+00:00,4,4,4,4,6,6,6,6,,,,,,6,,,0,20369,
1762826940,2025-11-11 02:09:00+00:00,4,4,4,4,6,6,6,6,,,,,,6,,,0,20369,
1762831860,2025-11-11 03:31:00+00:00,4,4,4,4,6,6,6,6,,,,,,6,,,0,20369,
1762831920,2025-11-11 03:32:00+00:00,4,4,4,4,6,6,6,6,,,,,,6,,,0,20369,
1762836840,2025-11-11 04:54:00+00:00,4,4,4,4,6,6,6,6,,,,,,6,,,0,20369,
1762837200,2025-11-11 05:00:00+00:00,4,4,4,4,6,7,6,7,,,,,,6,,,0,20369,
1762840440,2025-11-11 05:54:00+00:00,4,4,4,4,7,7,7,7,,,,,,6,,,0,20369,
1762842540,2025-11-11 06:29:00+00:00,4,4,4,4,7,7,7,7,,,,,,6,,,0,20369,
1762843980,2025-11-11 06:53:00+00:00,4,4,4,4,7,7,7,7,,,,,,6,,,0,20369,
1762845840,2025-11-11 07:24:00+00:00,4,4,4,4,7,8,7,8,,,,,,6,,,0,20369,
1762846860,2025-11-11 07:41:00+00:00,4,4,4,4,8,8,7,7,,,,,,6,,,0,20369,
1762847160,2025-11-11 07:46:00+00:00,4,4,4,4,7,7,7,7,,,,,,6,,,0,20369,
1762847880,2025-11-11 07:58:00+00:00,4,4,4,4,7,7,7,7,,,,,,6,,,0,20369,
1762850280,2025-11-11 08:38:00+00:00,4,4,4,4,7,7,7,7,,,,,,6,,,0,20369,
1762853220,2025-11-11 09:27:00+00:00,4,4,4,4,7,7,7,7,,,,,,6,,,0,20369,
1762853340,2025-11-11 09:29:00+00:00,4,4,4,4,7,8,7,8,,,,,,6,,,0,20369,
1762856220,2025-11-11 10:17:00+00:00,4,4,4,4,8,8,8,8,,,,,,6,,,0,20369,
1762858560,2025-11-11 10:56:00+00:00,4,4,4,4,8,8,8,8,,,,,,6,,,0,20369,
1762859040,2025-11-11 11:04:00+00:00,4,4,4,4,8,8,8,8,,,,,,6,,,0,20369,
1762862040,2025-11-11 11:54:00+00:00,4,4,4,4,8,8,8,8,,,,,,6,,,0,20369,
1762863900,2025-11-11 12:25:00+00:00,4,4,4,4,8,8,8,8,,,,,,6,,,0,20369,
1762867440,2025-11-11 13:24:00+00:00,4,4,4,4,8,8,8,8,,,,,,6,,,0,20369,
1762867500,2025-11-11 13:25:00+00:00,4,4,4,4,8,8,8,8,,,,,,6,,,0,20369,
1762869240,2025-11-11 13:54:00+00:00,4,4,4,4,8,8,8,8,,,,,,6,,,0,20369,
1762870920,2025-11-11 14:22:00+00:00,4,4,4,4,8,8,8,8,,,,,,6,,,0,20369,
1762873440,2025-11-11 15:04:00+00:00,4,4,3,4,8,8,8,8,,,,,,6,,,0,20369,
1762874520,2025-11-11 15:22:00+00:00,4,4,4,4,8,8,8,8,,,,,,6,,,0,20369,
1762874640,2025-11-11 15:24:00+00:00,4,4,4,4,8,8,8,8,,,,,,6,,,0,20369,
1762878180,2025-11-11 16:23:00+00:00,4,4,4,4,8,8,8,8,,,,,,6,,,0,20369,
1762879680,2025-11-11 16:48:00+00:00,4,4,4,4,8,8,7,7,,,,,,6,,,0,20369,
1762880160,2025-11-11 16:56:00+00:00,4,4,4,4,7,7,7,7,,,,,,6,,,0,20369,
1762883580,2025-11-11 17:53:00+00:00,4,4,4,4,7,7,7,7,,,,,,6,,,0,20369,
1762883760,2025-11-11 17:56:00+00:00,4,4,4,4,7,7,7,7,,,,,,6,,,0,20369,
1762885800,2025-11-11 18:30:00+00:00,4,4,4,4,7,7,7,7,,,,,,6,,,0,20369,
1762886340,2025-11-11 18:39:00+00:00,4,4,4,4,7,7,7,7,7.0,7.0,7.0,7.0,7.0,6,,,26,20369,0.07
1762890120,2025-11-11 19:42:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762891440,2025-11-11 20:04:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762893960,2025-11-11 20:46:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762897200,2025-11-11 21:40:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762897980,2025-11-11 21:53:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762901940,2025-11-11 22:59:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762902240,2025-11-11 23:04:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762903020,2025-11-11 23:17:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762907400,2025-11-12 00:30:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762909080,2025-11-12 00:58:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762912800,2025-11-12 02:00:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762914720,2025-11-12 02:32:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762914960,2025-11-12 02:36:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762920120,2025-11-12 04:02:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762920540,2025-11-12 04:09:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762920660,2025-11-12 04:11:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
1762924920,2025-11-12 05:22:00+00:00,4,4,4,4,7,7,7,7,,,,,,7,,,0,20369,
